Source,TagName,DateTime,State,Value,Unit,Quality,QualityStatus
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,38:13.6,,62.26,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,18:13.7,,61.9,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,22:13.7,,61.88,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,56:14.0,,60.81,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,58:14.0,,60.76,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,54:14.2,,59.33,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,12:14.3,,60.98,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,32:14.3,,60.91,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,34:14.3,,60.93,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,10:14.5,,60.54,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,04:14.7,,61.01,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,08:14.7,,61,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,10:14.7,,61,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,02:14.9,,59.37,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,40:15.0,,61.15,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,42:15.0,,61.14,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,44:15.1,,61.16,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,06:15.1,,61.27,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,00:15.4,,60.31,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,18:15.4,,60.32,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,22:15.4,,60.31,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,24:15.4,,59.58,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,54:15.7,,64.53,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,56:15.7,,64.53,%,192,0
